       x   |    U(x)   |    V(x)   | U(x) - V(x)
0.000000 | 24.936437 | 24.925624 | -0.010812
0.100000 | 24.872873 | 24.863049 | -0.009824
0.200000 | 24.848873 | 24.839839 | -0.009035
0.300000 | 24.847785 | 24.839324 | -0.008460
0.400000 | 24.854272 | 24.846160 | -0.008112
0.500000 | 24.857699 | 24.849703 | -0.007995
0.600000 | 24.854272 | 24.846160 | -0.008112
0.700000 | 24.847785 | 24.839324 | -0.008460
0.800000 | 24.848873 | 24.839839 | -0.009035
0.900000 | 24.872873 | 24.863049 | -0.009824
1.000000 | 24.936437 | 24.925624 | -0.010812
max |U(x) - V(x)| = 0.010812397359892 on i=0,n
