       x   |    U(x)   |    V(x)   | U(x) - V(x)
0.000000 | 24.911128 | 24.912592 | 0.001464
0.100000 | 24.847647 | 24.850059 | 0.002413
0.200000 | 24.823689 | 24.826870 | 0.003181
0.300000 | 24.822617 | 24.826364 | 0.003747
0.400000 | 24.829109 | 24.833202 | 0.004093
0.500000 | 24.832535 | 24.836745 | 0.004210
0.600000 | 24.829109 | 24.833202 | 0.004093
0.700000 | 24.822617 | 24.826364 | 0.003747
0.800000 | 24.823689 | 24.826870 | 0.003181
0.900000 | 24.847647 | 24.850059 | 0.002413
1.000000 | 24.911128 | 24.912592 | 0.001464
max |U(x) - V(x)| = 0.004209581607377 on i=0,n
