       x   |    U(x)   |    V(x)   | U(x) - V(x)
0.000000 | 22.978962 | 22.731088 | -0.247874
0.100000 | 20.957925 | 20.732484 | -0.225441
0.200000 | 19.445625 | 19.237110 | -0.208515
0.300000 | 18.396694 | 18.199994 | -0.196700
0.400000 | 17.779664 | 17.589944 | -0.189720
0.500000 | 17.576023 | 17.388612 | -0.187411
0.600000 | 17.779664 | 17.589944 | -0.189720
0.700000 | 18.396694 | 18.199994 | -0.196700
0.800000 | 19.445625 | 19.237110 | -0.208515
0.900000 | 20.957925 | 20.732484 | -0.225441
1.000000 | 22.978962 | 22.731088 | -0.247874
max |U(x) - V(x)| = 0.247874442291447 on i=0,n
