       x   |    U(x)   |    V(x)   | U(x) - V(x)
0.000000 | 22.725117 | 22.731088 | 0.005971
0.100000 | 20.731111 | 20.732484 | 0.001373
0.200000 | 19.239038 | 19.237110 | -0.001928
0.300000 | 18.204137 | 18.199994 | -0.004143
0.400000 | 17.595360 | 17.589944 | -0.005416
0.500000 | 17.394443 | 17.388612 | -0.005831
0.600000 | 17.595360 | 17.589944 | -0.005416
0.700000 | 18.204137 | 18.199994 | -0.004143
0.800000 | 19.239038 | 19.237110 | -0.001928
0.900000 | 20.731111 | 20.732484 | 0.001373
1.000000 | 22.725117 | 22.731088 | 0.005971
max |U(x) - V(x)| = 0.005970769141413 on i=0,n
